Product_Name,Catagory,Supplier_Name,Warehouse_Location,Status,Product_ID,Supplier_ID,Date_Received,Last_Order_Date,Expiration_Date,Stock_Quantity,Reorder_Level,Reorder_Quantity,Unit_Price,Sales_Volume,Inventory_Turnover_Rate,percentage
Quinoa,Grains & Pulses,SuperGrain,4001 Health Ave,Active,44-555-6666,54-666-7777,9/20/2025,9/25/2025,10/20/2025,110,30,60,$3.20,120,80,2.60%
Tilapia Fillet,Seafood,OceanFresh,4002 Sea St,Backordered,45-666-7777,55-777-8888,10/5/2025,10/10/2025,11/15/2025,85,20,40,$7.50,90,60,2.30%
Goat Cheese,Dairy,CheeseMakers,4003 Dairy Rd,Active,46-777-8888,56-888-9999,11/1/2025,11/10/2025,12/10/2025,70,15,35,$5.50,75,50,2.20%
Pumpkin,Fruits & Vegetables,Harvesters,4004 Pumpkin Ln,Discontinued,47-888-9999,57-999-0000,12/5/2025,12/10/2025,1/15/2026,95,25,45,$2.80,100,70,2.40%
Coconut Water,Beverages,NatureDrink,4005 Tropic Ave,Active,48-999-0000,58-000-1111,1/10/2026,1/15/2026,2/20/2026,120,30,50,$2.60,130,80,2.50%
Turkey Breast,Meat,PoultryPro,4006 Farm Rd,Backordered,49-000-1111,59-111-2222,2/5/2026,2/10/2026,3/15/2026,80,20,40,$8.50,85,55,2.40%
Edamame,Fruits & Vegetables,GreenLeaf,4007 Veggie Rd,Active,50-111-2222,60-222-3333,3/1/2026,3/10/2026,4/20/2026,100,25,50,$2.10,110,70,2.40%
Walnut Oil,Oils & Fats,NutriCo,4008 Nut St,Discontinued,51-222-3333,61-333-4444,4/5/2026,4/10/2026,5/15/2026,75,20,35,$7.00,80,50,2.20%
Ciabatta,Bakery,BreadWorks,4009 Baker St,Active,52-333-4444,62-444-5555,5/1/2026,5/10/2026,6/25/2026,60,10,25,$3.20,65,30,2.10%
Duck Leg,Meat,PoultryPro,4010 Farm Rd,Backordered,53-444-5555,63-555-6666,6/10/2026,6/15/2026,7/30/2026,90,20,40,$9.00,95,55,2.40%
Ricotta,Dairy,GoldenDairy,4011 Cheese St,Active,54-555-6666,64-666-7777,7/5/2026,7/10/2026,8/25/2026,100,30,50,$2.80,110,75,2.50%
Swordfish,Seafood,BlueSea,4012 Harbor St,Discontinued,55-666-7777,65-777-8888,8/1/2026,8/10/2026,9/20/2026,60,15,35,$13.00,65,45,2.20%
Papaya,Fruits & Vegetables,TropiFresh,4013 Banana Blvd,Active,56-777-8888,66-888-9999,9/10/2026,9/15/2026,10/25/2026,140,40,70,$2.70,145,100,2.80%
Matcha,Beverages,CafeCo,4014 Java Ave,Backordered,57-888-9999,67-999-0000,10/1/2026,10/10/2026,11/20/2026,55,10,30,$8.00,60,35,2.10%
Radish,Fruits & Vegetables,FreshFarm,4015 Orchard Lane,Active,58-999-0000,68-000-1111,11/5/2026,11/10/2026,12/15/2026,110,30,50,$1.50,115,80,2.50%
Pistachios,Grains & Pulses,NutriCo,4016 Nut St,Discontinued,59-000-1111,69-111-2222,12/1/2026,12/10/2026,1/20/2027,80,20,40,$7.50,85,60,2.20%
Lobster,Seafood,SeaHarvest,4017 Ocean Ave,Active,60-111-2222,70-222-3333,1/10/2026,1/15/2026,2/20/2026,70,15,35,$15.00,75,50,2.30%
Brie Cheese,Dairy,GoldenDairy,4018 Cheese St,Backordered,61-222-3333,71-333-4444,2/5/2026,2/10/2026,3/15/2026,60,20,30,$6.00,65,40,2.10%
Arugula,Fruits & Vegetables,GreenLeaf,4019 Veggie Rd,Active,62-333-4444,72-444-5555,3/1/2026,3/10/2026,4/20/2026,120,25,50,$1.90,125,70,2.40%
Barley,Grains & Pulses,GrainCo,4020 Grain Blvd,Active,63-444-5555,73-555-6666,9/20/2025,9/25/2025,10/20/2025,110,30,60,$2.10,120,80,2.60%
Mussels,Seafood,OceanFresh,4021 Sea St,Backordered,64-555-6666,74-666-7777,10/5/2025,10/10/2025,11/15/2025,85,20,40,$9.00,90,60,2.30%
Havarti Cheese,Dairy,CheeseMakers,4022 Dairy Rd,Active,65-666-7777,75-777-8888,11/1/2025,11/10/2025,12/10/2025,70,15,35,$5.80,75,50,2.20%
Persimmon,Fruits & Vegetables,Harvesters,4023 Persimmon Ln,Discontinued,66-777-8888,76-888-9999,12/5/2025,12/10/2025,1/15/2026,95,25,45,$3.00,100,70,2.40%
Kombucha,Beverages,NatureDrink,4024 Tropic Ave,Active,67-888-9999,77-999-0000,1/10/2026,1/15/2026,2/20/2026,120,30,50,$3.20,130,80,2.50%
Venison,Meat,PoultryPro,4025 Farm Rd,Backordered,68-999-0000,78-000-1111,2/5/2026,2/10/2026,3/15/2026,80,20,40,$14.00,85,55,2.40%
Chard,Fruits & Vegetables,GreenLeaf,4026 Veggie Rd,Active,69-000-1111,79-111-2222,3/1/2026,3/10/2026,4/20/2026,100,25,50,$2.00,110,70,2.40%
Macadamia Oil,Oils & Fats,NutriCo,4027 Nut St,Discontinued,70-111-2222,80-222-3333,4/5/2026,4/10/2026,5/15/2026,75,20,35,$8.00,80,50,2.20%
Pumpernickel,Bakery,BreadWorks,4028 Baker St,Active,71-222-3333,81-333-4444,5/1/2026,5/10/2026,6/25/2026,60,10,25,$3.50,65,30,2.10%
Quail Eggs,Dairy,HenHouse,4029 Egg Rd,Backordered,72-333-4444,82-444-5555,6/10/2026,6/15/2026,7/30/2026,110,35,55,$3.20,115,85,2.60%
Pear Juice,Beverages,Juicy,4030 Citrus Ave,Active,73-444-5555,83-555-6666,7/5/2026,7/10/2026,8/25/2026,95,25,45,$3.80,100,60,2.30%
Lamb Chop,Meat,PoultryPro,4031 Farm Rd,Discontinued,74-555-6666,84-666-7777,8/1/2026,8/10/2026,9/20/2026,75,20,40,$15.00,80,55,2.40%
Salsify,Fruits & Vegetables,RootHarvest,5001 Veggie Rd,Active,75-555-6666,85-666-7777,9/20/2025,9/25/2025,10/20/2025,90,20,40,$2.40,95,60,2.30%
Buffalo Milk,Dairy,WildDairy,5002 Dairy Rd,Backordered,76-666-7777,86-777-8888,10/5/2025,10/10/2025,11/15/2025,80,20,40,$4.20,85,60,2.20%
Farro,Grains & Pulses,AncientGrain,5003 Grain Blvd,Active,77-777-8888,87-888-9999,11/1/2025,11/10/2025,12/10/2025,110,30,60,$2.90,120,80,2.60%
Red Snapper,Seafood,SeaHarvest,5004 Ocean Ave,Discontinued,78-888-9999,88-999-0000,12/5/2025,12/10/2025,1/15/2026,60,15,35,$11.00,65,50,2.20%
Ghee,Dairy,GoldenDairy,5005 Butter St,Active,79-999-0000,89-000-1111,1/10/2026,1/15/2026,2/20/2026,90,25,45,$5.00,100,70,2.40%
Watercress,Fruits & Vegetables,GreenLeaf,5006 Veggie Rd,Backordered,80-000-1111,90-111-2222,2/5/2026,2/10/2026,3/15/2026,110,35,55,$2.10,115,85,2.60%
Hazelnut Oil,Oils & Fats,NutriCo,5007 Nut St,Active,81-111-2222,91-222-3333,3/1/2026,3/10/2026,4/20/2026,75,20,35,$7.50,80,50,2.20%
Pretzel,Bakery,BreadWorks,5008 Baker St,Discontinued,82-222-3333,92-333-4444,4/5/2026,4/10/2026,5/15/2026,55,10,25,$2.80,60,30,2.10%
Turkey Eggs,Dairy,HenHouse,5009 Egg Rd,Active,83-333-4444,93-444-5555,5/1/2026,5/10/2026,6/25/2026,130,40,60,$2.70,140,90,2.70%
Grapefruit Juice,Beverages,Juicy,5010 Citrus Ave,Backordered,84-444-5555,94-555-6666,6/10/2026,6/15/2026,7/25/2026,95,25,45,$3.90,100,60,2.30%
Duck Breast,Meat,PoultryPro,5011 Farm Rd,Active,85-555-6666,95-666-7777,7/5/2026,7/10/2026,8/20/2026,85,20,40,$9.50,90,55,2.40%
Sheep Milk,Dairy,GoldenDairy,5012 Dairy Lane,Active,86-666-7777,96-777-8888,8/1/2026,8/10/2026,9/15/2026,100,30,50,$3.10,110,75,2.50%
Octopus,Seafood,BlueSea,5013 Harbor St,Backordered,87-777-8888,97-888-9999,9/10/2026,9/15/2026,10/20/2026,70,15,35,$14.00,75,45,2.20%
Guava,Fruits & Vegetables,TropiFresh,5014 Banana Blvd,Active,88-888-9999,98-999-0000,10/1/2026,10/10/2026,11/15/2026,150,40,70,$2.60,160,100,2.80%
Yerba Mate,Beverages,CafeCo,5015 Java Ave,Discontinued,89-999-0000,99-000-1111,11/5/2026,11/10/2026,12/20/2026,60,10,30,$8.50,65,35,2.10%
Romanesco,Fruits & Vegetables,GreenLeaf,5016 Veggie Rd,Active,90-000-1111,00-111-2222,9/20/2025,9/25/2025,10/20/2025,100,25,50,$2.50,110,70,2.40%
Brazil Nut,Grains & Pulses,NutriCo,5017 Nut St,Backordered,91-111-2222,01-222-3333,10/5/2025,10/10/2025,11/15/2025,90,20,40,$6.80,95,60,2.20%
Catfish,Seafood,SeaHarvest,5018 Ocean Ave,Active,92-222-3333,02-333-4444,11/1/2025,11/10/2025,12/10/2025,80,15,35,$9.50,85,50,2.30%
Paneer,Dairy,CheeseMakers,5019 Dairy Rd,Discontinued,93-333-4444,03-444-5555,12/5/2025,12/10/2025,1/15/2026,70,20,30,$4.80,75,40,2.10%
Turnip,Fruits & Vegetables,Harvesters,5020 Turnip Ln,Active,94-444-5555,04-555-6666,1/10/2026,1/15/2026,2/20/2026,120,30,50,$1.60,130,80,2.50%
Rabbit Meat,Meat,PoultryPro,5021 Farm Rd,Backordered,95-555-6666,05-666-7777,2/5/2026,2/10/2026,3/15/2026,80,20,40,$13.00,85,55,2.40%
Collard Greens,Fruits & Vegetables,GreenLeaf,5022 Veggie Rd,Active,96-666-7777,06-777-8888,3/1/2026,3/10/2026,4/20/2026,100,25,50,$2.20,110,70,2.40%
Spelt,Grains & Pulses,GrainCo,5023 Grain Blvd,Active,97-777-8888,07-888-9999,9/20/2025,9/25/2025,10/20/2025,110,30,60,$2.80,120,80,2.60%
Clams,Seafood,OceanFresh,5024 Sea St,Backordered,98-888-9999,08-999-0000,10/5/2025,10/10/2025,11/15/2025,85,20,40,$8.50,90,60,2.30%
Fontina Cheese,Dairy,CheeseMakers,5025 Dairy Rd,Active,99-999-0000,09-000-1111,11/1/2025,11/10/2025,12/10/2025,70,15,35,$6.20,75,50,2.20%
Mulberry,Fruits & Vegetables,Harvesters,5026 Mulberry Ln,Discontinued,00-000-1111,10-111-2222,12/5/2025,12/10/2025,1/15/2026,95,25,45,$3.10,100,70,2.40%
Tamarind,Beverages,NatureDrink,5027 Tropic Ave,Active,01-111-2222,11-222-3333,1/10/2026,1/15/2026,2/20/2026,120,30,50,$2.90,130,80,2.50%
Bison Meat,Meat,PoultryPro,5028 Farm Rd,Backordered,02-222-3333,12-333-4444,2/5/2026,2/10/2026,3/15/2026,80,20,40,$15.00,85,55,2.40%
Mustard Greens,Fruits & Vegetables,GreenLeaf,5029 Veggie Rd,Active,03-333-4444,13-444-5555,3/1/2026,3/10/2026,4/20/2026,100,25,50,$2.30,110,70,2.40%
Pistachio Oil,Oils & Fats,NutriCo,5030 Nut St,Discontinued,04-444-5555,14-555-6666,4/5/2026,4/10/2026,5/15/2026,75,20,35,$9.00,80,50,2.20%
Sourdough Roll,Bakery,BreadWorks,5031 Baker St,Active,05-555-6666,15-666-7777,5/1/2026,5/10/2026,6/25/2026,60,10,25,$3.10,65,30,2.10%
Goose Eggs,Dairy,HenHouse,5032 Egg Rd,Backordered,06-666-7777,16-777-8888,6/10/2026,6/15/2026,7/30/2026,110,35,55,$3.40,115,85,2.60%
Plum Juice,Beverages,Juicy,5033 Citrus Ave,Active,07-777-8888,17-888-9999,7/5/2026,7/10/2026,8/25/2026,95,25,45,$3.60,100,60,2.30%
Veal Chop,Meat,PoultryPro,5034 Farm Rd,Discontinued,08-888-9999,18-999-0000,8/1/2026,8/10/2026,9/20/2026,75,20,40,$16.00,80,55,2.40%
